Name,Category  , Packaging ,Recyclability ,Components Used,Carbon_Footprints,Water_Usage_Liters,Sustainability_Score,Sustainability_Level ,Sustainable_Alternative
Foundation, Cosmetics, Glass bottle, Yes, Water mica titanium dioxide,28,10,82, High, Refillable foundation stick
Concealer, Cosmetics, Plastic tube, No, Talc dimethicone pigments,26,8,78, Medium, Paper tube concealer
BB Cream, Cosmetics, Plastic tube, Yes, Glycerin SPF agents natural oils,18,5,84, High, Tinted moisturizer with SPF
CC Cream, Cosmetics, Squeeze tube, Yes, Green tea extract zinc oxide pigments,20,6,80, High, Mineral-based CC cream
Tinted Moisturizer, Cosmetics, Tube, Yes, Shea butter zinc oxide glycerin,22,7,83, High, Organic tinted balm
Powder Compact, Cosmetics, Plastic case, No, Talc mica silica,35,4,72, Medium, Refillable powder compact
Loose Powder, Cosmetics, Plastic jar, No, Rice powder mica zinc oxide,33,5,74, Medium, Paper refill pack
Blush, Cosmetics, Plastic case, No, Mica iron oxide talc,31,4,76, Medium, Bamboo blush palette
Bronzer, Cosmetics, Plastic compact, No, Mica iron oxide silica,30,4,75, Medium, Refillable bronzer tin
Highlighter, Cosmetics, Plastic case, No, Mica titanium dioxide silica,29,4,77, Medium, Recycled aluminum pan
Contour Stick, Cosmetics, Plastic tube, No, Wax pigment oil blend,32,6,73, Medium, Paper push-up contour
Setting Spray, Cosmetics, Plastic bottle, No, Water alcohol aloe vera,40,12,65, Medium, Glass spray bottle
Primer, Cosmetics, Plastic tube, No, Silicone dimethicone vitaminE,38,10,70, Medium, Water-based primer
Lipstick, Cosmetics, Plastic case, No, Wax pigment oil,45,6,62, Medium, Paper tube lipstick
Lip Gloss, Cosmetics, Plastic tube, No, Mineral oil flavor pigment,43,5,64, Medium, Glass wand gloss
Lip Balm, Cosmetics, Plastic tube, Yes, Shea butter wax oil,25,3,85, High, Compostable paper tube balm
Lip Liner, Cosmetics, Pencil, Yes, Wood pigment wax,21,2,86, High, Bamboo lip liner
Mascara, Cosmetics, Plastic tube, No, Wax pigment oil polymer,47,8,60, Low, Glass refill mascara
Eyeliner, Cosmetics, Plastic pen, No, Carbon black water polymer,44,7,63, Medium, Wooden eyeliner pencil
Eyeshadow Palette, Cosmetics, Plastic palette, No, Mica talc pigment,46,9,61, Low, Recycled paper palette
Eyebrow Pencil, Cosmetics, Pencil, Yes, Wax pigment wood,24,3,82, High, Bamboo eyebrow pencil
Eyelash Curler, Cosmetics, Metal, Yes, Stainless steel rubber pad,19,0,88, High, Recyclable curler
Nail Polish, Cosmetics, Glass bottle, Yes, Nitrocellulose solvent pigment,28,4,79, High, Water-based polish
Nail Polish Remover, Cosmetics, Plastic bottle, No, Acetone water glycerin,39,8,68, Medium, Bio-acetone remover
Makeup Remover, Cosmetics, Plastic bottle, No, Micellar water glycerin aloe,37,7,71, Medium, Refillable glass bottle
Face Serum, Cosmetics, Glass bottle, Yes, Hyaluronic acid water vitaminC,26,5,83, High, Refillable serum bottle
Face Oil, Cosmetics, Glass bottle, Yes, Jojoba oil rosehip oil,25,4,85, High, Refillable oil dropper
Moisturizer, Cosmetics, Plastic jar, No, Glycerin aloe shea butter,42,6,67, Medium, Glass jar moisturizer
Sunscreen, Cosmetics, Plastic tube, No, Zinc oxide aloe glycerin,41,9,69, Medium, Reef-safe tin sunscreen
Face Wash, Cosmetics, Plastic tube, No, Water glycerin salicylic acid,43,10,66, Medium, Refillable glass dispenser
Toner, Cosmetics, Plastic bottle, No, Witch hazel aloe water,36,8,72, Medium, Glass spray toner
Face Mask, Cosmetics, Plastic pouch, No, Clay aloe extract,48,7,60, Low, Powder-based mask in jar
