Name,Category,Packaging,Recyclability,Components Used,Carbon_Footprints,Water_Usage_Liters,Sustainability_Score,Sustainability_Level,Sustainable_Alternative
Towel,Daily-use,Glass,Yes,Contains steel and eco resin,1.3821034523936162,61,85.15645742471249,High,Encourage glass refill systems
Toothbrush,Daily-use,Rubber,No,Contains organic cotton and binders,4.215696773291643,160,36.76823743839732,Low,Replace with natural rubber
Chips,Food,Glass,Yes,Contains recycled wood and minor additives,1.2461226402811012,64,90.19913203625008,High,Encourage glass refill systems
Juice Bottle,Food,Bamboo,Yes,Contains aluminium and adhesives,0.630883689664504,27,95.97488418031756,High,Use bamboo-based sustainable design
Sofa,Furniture,Plastic Film,No,Contains hemp and adhesives,4.719041443362348,182,45.158666673590496,Low,Use organic fabric sofa
Lipstick,Cosmetics,Plastic,No,Contains bioplastic and minor additives,5.646534676996384,164,26.416676583144756,Low,Use bioplastic or glass packaging
Tablet,Electronics,Glass,Yes,Contains organic cotton and binders,1.3938561025612115,56,89.3821639945233,High,Encourage glass refill systems
Yogurt Cup,Food,Plastic,No,Contains bamboo and adhesives,6.459860389629596,163,28.339985018137625,Low,Use bioplastic or glass packaging
Notebook,Daily-use,Metal,Yes,Contains bamboo and binders,1.586102219633188,106,78.82626462496953,High,Switch to stainless steel components
Cereal Box,Food,Fabric,Yes,Contains aluminium and eco resin,2.630921009026117,115,76.73197706324865,High,Use organic cotton or hemp fabrics
Bed Frame,Furniture,Paper Wrap,Yes,Contains hemp and binders,4.49174900816261,122,78.82342367308127,Medium,Use bamboo-based bed
Smartwatch,Electronics,Metal,Yes,Contains organic cotton and minor additives,2.424407442563124,100,79.26636505433042,High,Switch to stainless steel components
Air Conditioner,Electronics,Glass,Yes,Contains aluminium and adhesives,1.474573042098084,63,90.67250666098607,High,Encourage glass refill systems
Juice Bottle,Food,Glass,Yes,Contains steel and starch base,1.11391137278122,55,90.50880284601476,High,Encourage glass refill systems
Notebook,Daily-use,Glass,Yes,Contains glass and minor additives,0.965932084321584,58,88.62788090780421,High,Encourage glass refill systems
Smartwatch,Electronics,Metal,Yes,Contains bioplastic and adhesives,2.327726739665296,101,83.41233209187932,High,Switch to stainless steel components
Pasta,Food,Fabric,Yes,Contains hemp and colorants,2.388157237601757,115,78.1649203152054,High,Use organic cotton or hemp fabrics
Sofa,Furniture,Plastic Film,No,Contains aluminium and binders,4.914326158464462,210,46.460238730912536,Low,Use organic fabric sofa
