Name,Category,Packaging,Recyclability,Components Used,Carbon_Footprints,Water_Usage_Liters,Sustainability_Score,Sustainability_Level,Sustainable_Alternative
Towel,Daily-use,Paper wrap,Yes,Contains steel and eco resin,1.3821034523936162,61,93.344,High,Use recycled glass containers that are reusable and easily recyclable.
Toothbrush,Daily-use,Rigid cardboard box,No,Contains organic cotton and binders,4.215696773291643,160,41.373,Low,Use eco-friendly packaging alternatives made from renewable materials.
Chips,Food,Laminated foil pouch,Yes,Contains recycled wood and minor additives,1.2461226402811012,64,68.466,Medium,Use recycled glass containers that are reusable and easily recyclable.
Juice Bottle,Food,Laminated foil pouch,Yes,Contains aluminium and adhesives,0.630883689664504,27,73.511,Medium,Adopt bamboo-based packaging that is compostable and renewable.
Sofa,Furniture,Corrugated cardboard,No,Contains hemp and adhesives,4.719041443362348,182,50.494,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Lipstick,Cosmetics,Plastic bottle (HDPE),No,Contains bioplastic and minor additives,5.646534676996384,164,20.879,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Tablet,Electronics,Rigid cardboard box,Yes,Contains organic cotton and binders,1.3938561025612115,56,100,High,Use recycled glass containers that are reusable and easily recyclable.
Yogurt Cup,Food,Laminated foil pouch,No,Contains bamboo and adhesives,6.459860389629596,163,20.588,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Notebook,Daily-use,Aluminum,Yes,Contains bamboo and binders,1.586102219633188,106,70.116,Medium,Switch to recycled metal containers with minimal processing waste.
Cereal Box,Food,Laminated foil pouch,Yes,Contains aluminium and eco resin,2.630921009026117,115,57.352,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Bed Frame,Furniture,Corrugated cardboard,Yes,Contains hemp and binders,4.49174900816261,122,89.114,High,Use uncoated recycled paper with eco-friendly printing inks.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains organic cotton and minor additives,2.424407442563124,100,90.929,High,Switch to recycled metal containers with minimal processing waste.
Air Conditioner,Electronics,Plastic bottle (HDPE),Yes,Contains aluminium and adhesives,1.474573042098084,63,74.483,Medium,Use recycled glass containers that are reusable and easily recyclable.
Juice Bottle,Food,Laminated foil pouch,Yes,Contains steel and starch base,1.11391137278122,55,68.846,Medium,Use recycled glass containers that are reusable and easily recyclable.
Notebook,Daily-use,Glass,Yes,Contains glass and minor additives,0.965932084321584,58,97.407,High,Use recycled glass containers that are reusable and easily recyclable.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains bioplastic and adhesives,2.327726739665296,101,95.719,High,Switch to recycled metal containers with minimal processing waste.
Pasta,Food,Laminated foil pouch,Yes,Contains hemp and colorants,2.388157237601757,115,58.498,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Sofa,Furniture,Corrugated cardboard,No,Contains aluminium and binders,4.914326158464462,210,51.655,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Bread Loaf,Food,Laminated foil pouch,Yes,Contains hemp and binders,0.5869309425712006,30,73.043,Medium,Adopt bamboo-based packaging that is compostable and renewable.
Oatmeal,Food,Laminated foil pouch,No,Contains bioplastic and minor additives,4.416819992567556,142,24.099,Low,Use eco-friendly packaging alternatives made from renewable materials.
Laptop,Electronics,Rigid cardboard box,Yes,Contains hemp and starch base,1.1486720038898612,50,100,High,Use uncoated recycled paper with eco-friendly printing inks.
Bed Frame,Furniture,Corrugated cardboard,Yes,Contains recycled wood and starch base,4.05749549301736,117,88.211,High,Use uncoated recycled paper with eco-friendly printing inks.
Notebook,Daily-use,Plastic,No,Contains bamboo and eco resin,3.8467985203133006,161,25.164,Low,Use eco-friendly packaging alternatives made from renewable materials.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains bamboo and adhesives,2.2961236492517885,129,91.422,High,Use eco-friendly packaging alternatives made from renewable materials.
Bookshelf,Furniture,Corrugated cardboard,Yes,Contains bioplastic and starch base,1.6485727423296983,71,100,High,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Milk Carton,Food,Laminated foil pouch,Yes,Contains organic cotton and binders,1.277494215890596,54,67.69,Medium,Use uncoated recycled paper with eco-friendly printing inks.
Detergent,Daily-use,Plastic bottle (HDPE),Yes,Contains hemp and starch base,0.1406926553014432,31,76.645,High,Adopt bamboo-based packaging that is compostable and renewable.
Bed Frame,Furniture,Corrugated cardboard,Yes,Contains bamboo and eco resin,4.477084140962477,117,85.644,High,Use uncoated recycled paper with eco-friendly printing inks.
Nail Polish,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and adhesives,1.7804428389233615,90,66.05,Medium,Switch to recycled metal containers with minimal processing waste.
Notebook,Daily-use,Aluminum,Yes,Contains glass and minor additives,9.192369473595988,200,47.106,Low,Replace with recycled aluminum that saves 90% of energy during production.
Bed Frame,Furniture,Corrugated cardboard,Yes,Contains recycled wood and eco resin,3.631322989392699,120,83.623,High,Use uncoated recycled paper with eco-friendly printing inks.
Tablet,Electronics,Rigid cardboard box,No,Contains steel and starch base,4.081500531376109,136,39.306,Low,Use eco-friendly packaging alternatives made from renewable materials.
Oatmeal,Food,Laminated foil pouch,Yes,Contains aluminium and minor additives,1.005513597744148,64,68.501,Medium,Use recycled glass containers that are reusable and easily recyclable.
Nail Polish,Cosmetics,Plastic bottle (HDPE),No,Contains hemp and minor additives,5.808656228083802,189,21.603,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Pasta,Food,Laminated foil pouch,Yes,Contains glass and binders,2.3645850186819644,100,59.97,Medium,Switch to recycled metal containers with minimal processing waste.
Cereal Box,Food,Laminated foil pouch,Yes,Contains glass and adhesives,2.5384189143596743,125,58.657,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Candle,Daily-use,Plastic,No,Contains steel and eco resin,3.6250261052564334,158,26.43,Low,Use eco-friendly packaging alternatives made from renewable materials.
LED TV,Electronics,Rigid cardboard box,No,Contains bioplastic and adhesives,6.379115381555456,184,27.343,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Table,Furniture,Corrugated cardboard,Yes,Contains organic cotton and adhesives,3.476788180805112,94,95.221,High,Use uncoated recycled paper with eco-friendly printing inks.
Laptop,Electronics,Rigid cardboard box,Yes,Contains glass and eco resin,0.3752767505271286,46,100,High,Use uncoated recycled paper with eco-friendly printing inks.
Air Conditioner,Electronics,Plastic bottle (HDPE),Yes,Contains bioplastic and minor additives,0.8359686445026387,64,74.033,Medium,Use recycled glass containers that are reusable and easily recyclable.
Air Conditioner,Electronics,Plastic bottle (HDPE),Yes,Contains recycled wood and minor additives,2.013419617171038,108,66.228,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Cereal Box,Food,Laminated foil pouch,Yes,Contains aluminium and eco resin,1.5174359062966936,62,64.239,Medium,Use recycled glass containers that are reusable and easily recyclable.
Perfume,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and starch base,2.2920634345090027,119,65.222,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Headphones,Electronics,Rigid cardboard box,Yes,Contains recycled wood and minor additives,0.8945363943475129,65,99.624,High,Use recycled glass containers that are reusable and easily recyclable.
Water Bottle,Daily-use,Plastic,No,Contains bamboo and colorants,3.565322107265483,141,26.978,Low,Use eco-friendly packaging alternatives made from renewable materials.
Bed Frame,Furniture,Corrugated cardboard,Yes,Contains bamboo and adhesives,4.3601475292676,121,82.835,High,Use uncoated recycled paper with eco-friendly printing inks.
Notebook,Daily-use,Glass,Yes,Contains bamboo and binders,1.5113678269299302,61,93.34,High,Use recycled glass containers that are reusable and easily recyclable.
Umbrella,Daily-use,Bamboo,Yes,Contains recycled wood and adhesives,0.4899189312799116,31,100,High,Adopt bamboo-based packaging that is compostable and renewable.
Yogurt Cup,Food,Laminated foil pouch,Yes,Contains bioplastic and eco resin,2.550091474981396,109,61.066,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Tablet,Electronics,Rigid cardboard box,Yes,Contains glass and binders,9.32211148443698,190,63.538,Medium,Replace with recycled aluminum that saves 90% of energy during production.
Smartphone,Electronics,Rigid cardboard box,Yes,Contains steel and adhesives,0.8440850791738358,61,100,High,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains bioplastic and minor additives,0.372040425636111,30,100,High,Adopt bamboo-based packaging that is compostable and renewable.
Nail Polish,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and adhesives,9.07501269750786,219,45.228,Low,Replace with recycled aluminum that saves 90% of energy during production.
Perfume,Cosmetics,Plastic bottle (HDPE),Yes,Contains hemp and minor additives,9.355056323004456,218,44.446,Low,Replace with recycled aluminum that saves 90% of energy during production.
LED TV,Electronics,Rigid cardboard box,No,Contains glass and minor additives,5.535744301591027,164,29.596,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Soap,Cosmetics,Plastic bottle (HDPE),Yes,Contains steel and binders,2.1040338670274785,129,62.426,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Water Bottle,Daily-use,Plastic bottle (HDPE),No,Contains glass and adhesives,6.243248703662268,195,18.817,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Body Lotion,Cosmetics,Plastic bottle (HDPE),No,Contains bamboo and adhesives,6.040803775283366,172,19.109,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains glass and eco resin,0.3957837514198585,32,100,High,Adopt bamboo-based packaging that is compostable and renewable.
Pasta,Food,Laminated foil pouch,Yes,Contains bamboo and colorants,1.8559070043433847,93,62.855,Medium,Switch to recycled metal containers with minimal processing waste.
Cereal Box,Food,Laminated foil pouch,No,Contains glass and starch base,6.021470513316865,168,17.512,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Wooden Chair,Furniture,Corrugated cardboard,Yes,Contains hemp and minor additives,2.2280020243568988,73,91.366,High,Adopt FSC-certified cardboard packaging made from renewable sources.
Headphones,Electronics,Rigid cardboard box,Yes,Contains steel and eco resin,8.88594052451119,214,64.829,Medium,Replace with recycled aluminum that saves 90% of energy during production.
Notebook,Daily-use,Aluminum,Yes,Contains bamboo and adhesives,1.922560177823542,98,72.425,Medium,Switch to recycled metal containers with minimal processing waste.
Moisturizer,Cosmetics,Plastic bottle (HDPE),Yes,Contains glass and starch base,0.7483885395103679,59,71.702,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Shampoo,Cosmetics,Plastic bottle (HDPE),Yes,Contains bioplastic and eco resin,2.0935978683687084,123,65.402,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Body Lotion,Cosmetics,Plastic bottle (HDPE),Yes,Contains bioplastic and starch base,1.2532956936082045,51,74.1,Medium,Use uncoated recycled paper with eco-friendly printing inks.
Soap,Cosmetics,Plastic bottle (HDPE),No,Contains aluminium and adhesives,5.533223558720041,193,21.804,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Oatmeal,Food,Laminated foil pouch,Yes,Contains bioplastic and starch base,8.98894235912906,182,42.984,Low,Replace with recycled aluminum that saves 90% of energy during production.
Lipstick,Cosmetics,Plastic bottle (HDPE),No,Contains hemp and minor additives,5.568534028540074,189,19.138,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Laptop,Electronics,Rigid cardboard box,Yes,Contains bioplastic and minor additives,2.7541586730874155,114,89.336,High,Use eco-friendly packaging alternatives made from renewable materials.
Smartphone,Electronics,Rigid cardboard box,Yes,Contains glass and eco resin,1.021301068647105,64,100,High,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Pasta,Food,Laminated foil pouch,Yes,Contains bamboo and adhesives,0.2680278688135278,28,74.621,Medium,Adopt bamboo-based packaging that is compostable and renewable.
Pasta,Food,Laminated foil pouch,No,Contains bioplastic and colorants,3.9408471519418886,164,25.089,Low,Use eco-friendly packaging alternatives made from renewable materials.
Nail Polish,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and colorants,1.4908463835429455,58,74.436,Medium,Use recycled glass containers that are reusable and easily recyclable.
Oatmeal,Food,Laminated foil pouch,Yes,Contains steel and adhesives,2.6277311590407737,119,56.995,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Pasta,Food,Laminated foil pouch,No,Contains organic cotton and binders,6.4582816548806425,172,17.79,Low,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Oatmeal,Food,Laminated foil pouch,Yes,Contains bioplastic and binders,9.334697838857943,219,41.381,Low,Replace with recycled aluminum that saves 90% of energy during production.
Air Conditioner,Electronics,Plastic bottle (HDPE),Yes,Contains aluminium and starch base,2.07853447884382,102,65.638,Medium,Switch to recycled metal containers with minimal processing waste.
Chips,Food,Laminated foil pouch,Yes,Contains glass and minor additives,1.189403295012928,62,68.797,Medium,Use recycled glass containers that are reusable and easily recyclable.
Oatmeal,Food,Laminated foil pouch,Yes,Contains organic cotton and colorants,-0.144055265,27,75.148,High,Adopt bamboo-based packaging that is compostable and renewable.
Pasta,Food,Laminated foil pouch,Yes,Contains aluminium and minor additives,2.9686538287233595,126,59.56,Medium,Use eco-friendly packaging alternatives made from renewable materials.
Milk Carton,Food,Laminated foil pouch,Yes,Contains recycled wood and binders,8.806697405956296,183,40.155,Low,Replace with recycled aluminum that saves 90% of energy during production.
Tablet,Electronics,Rigid cardboard box,Yes,Contains recycled wood and adhesives,1.5665126673539875,93,92.094,High,Switch to recycled metal containers with minimal processing waste.
Bookshelf,Furniture,Corrugated cardboard,Yes,Contains hemp and minor additives,2.132277841489807,65,100,High,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Smartphone,Electronics,Rigid cardboard box,Yes,Contains hemp and minor additives,0.7422882875772819,47,100,High,Use uncoated recycled paper with eco-friendly printing inks.
Pen,Daily-use,Aluminum,Yes,Contains aluminium and minor additives,1.6129752679555502,91,74.258,Medium,Switch to recycled metal containers with minimal processing waste.
Water Bottle,Daily-use,Glass,Yes,Contains bioplastic and eco resin,1.4899778633980594,59,95.275,High,Use recycled glass containers that are reusable and easily recyclable.
Air Conditioner,Electronics,Plastic bottle (HDPE),Yes,Contains aluminium and minor additives,0.3006202959702346,30,79.107,High,Adopt bamboo-based packaging that is compostable and renewable.
LED TV,Electronics,Rigid cardboard box,No,Contains bamboo and starch base,3.505619581241424,149,38.545,Low,Use eco-friendly packaging alternatives made from renewable materials.
Yogurt Cup,Food,Laminated foil pouch,Yes,Contains glass and starch base,2.390252524717459,98,60.609,Medium,Switch to recycled metal containers with minimal processing waste.
Sofa,Furniture,Corrugated cardboard,No,Contains aluminium and adhesives,4.65073804842671,185,50.373,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
Chips,Food,Laminated foil pouch,Yes,Contains hemp and colorants,1.059128195200784,61,66.302,Medium,Use recycled glass containers that are reusable and easily recyclable.
Air Conditioner,Electronics,Plastic bottle (HDPE),No,Contains steel and colorants,3.948186647641173,136,26.865,Low,Use eco-friendly packaging alternatives made from renewable materials.
Milk Carton,Food,Laminated foil pouch,Yes,Contains recycled wood and adhesives,-0.103369651,31,71.192,Medium,Adopt bamboo-based packaging that is compostable and renewable.
Water Bottle,Daily-use,Aluminum,Yes,Contains glass and starch base,9.413831731267154,193,51.605,Medium,Replace with recycled aluminum that saves 90% of energy during production.
Perfume,Cosmetics,Plastic bottle (HDPE),Yes,Contains organic cotton and binders,0.4385044832849425,30,81.084,High,Adopt bamboo-based packaging that is compostable and renewable.
Refrigerator,Electronics,Rigid cardboard box,Yes,Contains glass and binders,1.6192300240327957,94,89.977,High,Switch to recycled metal containers with minimal processing waste.
Juice Bottle,Food,Laminated foil pouch,Yes,Contains steel and adhesives,2.269374186043762,107,59.353,Medium,Switch to recycled metal containers with minimal processing waste.
Air Conditioner,Electronics,Plastic bottle (HDPE),No,Contains steel and starch base,4.490511403014358,149,27.186,Low,Use eco-friendly packaging alternatives made from renewable materials.
Candle,Daily-use,Paper wrap,Yes,Contains aluminium and minor additives,0.3733129406189764,50,100,High,Use uncoated recycled paper with eco-friendly printing inks.
Wooden Chair,Furniture,Corrugated cardboard,Yes,Contains bioplastic and starch base,2.323492035014445,79,92.889,High,Adopt FSC-certified cardboard packaging made from renewable sources.
Body Lotion,Cosmetics,Plastic bottle (HDPE),Yes,Contains recycled wood and eco resin,0.0737682639897026,27,78.274,High,Adopt bamboo-based packaging that is compostable and renewable.
Shampoo,Cosmetics,Plastic bottle (HDPE),Yes,Contains bioplastic and adhesives,0.7739233143409584,58,70.7,Medium,Use recycled glass containers that are reusable and easily recyclable.
Smartwatch,Electronics,Rigid cardboard box,Yes,Contains hemp and starch base,1.69253251951457,64,100,High,Use recycled glass containers that are reusable and easily recyclable.
Pasta,Food,Laminated foil pouch,No,Contains recycled wood and colorants,4.030778749641656,138,24.989,Low,Use eco-friendly packaging alternatives made from renewable materials.
Nail Polish,Cosmetics,Plastic bottle (HDPE),Yes,Contains bioplastic and minor additives,2.196629324664922,90,63.801,Medium,Switch to recycled metal containers with minimal processing waste.
Face Cream,Cosmetics,Plastic bottle (HDPE),Yes,Contains aluminium and eco resin,1.1674347450461735,60,73.193,Medium,Use recycled glass containers that are reusable and easily recyclable.
Cereal Box,Food,Laminated foil pouch,Yes,Contains bamboo and starch base,1.7956307968666172,91,62.483,Medium,Switch to recycled metal containers with minimal processing waste.
Headphones,Electronics,Rigid cardboard box,Yes,Contains steel and colorants,2.763997091034339,125,90.662,High,Use eco-friendly packaging alternatives made from renewable materials.
Sofa,Furniture,Corrugated cardboard,No,Contains organic cotton and binders,4.973232081890705,203,52.42,Medium,Switch to biodegradable PLA made from cornstarch for reduced carbon impact.
